
Graph 1, order 15000.
0 : 13291 1064 11307;
1 : 14935 2980 11658;
2 : 2050 9031 10547;
3 : 8013 11501 13840;
4 : 5520 11367 5558;
5 : 719 10339 14793;
6 : 1748 9346 14500;
7 : 11808 3064 14469;
8 : 3575 4101 10103;
9 : 11492 8109 5163;
10 : 3127 10671 9883;
11 : 14586 7288 5284;
12 : 4763 9535 13585;
13 : 12914 712 14807;
14 : 13003 5972 10748;
15 : 4267 9441 4530;
16 : 10303 6596 12397;
17 : 10407 12979 9787;
18 : 3878 13637 9711;
19 : 11739 12366 8929;
20 : 5202 14274 3843;
21 : 5535 10488 7000;
22 : 7956 3816 2198;
23 : 11052 11712 10697;
24 : 3107 13868 4453;
25 : 12570 10841 2869;
26 : 10328 1629 1561;
27 : 10193 10308 10578;
28 : 3762 5187 114;
29 : 2805 8064 11680;
30 : 12832 7130 10123;
31 : 14726 7658 4194;
32 : 4404 12099 9864;
33 : 8212 13598 5089;
34 : 13295 6776 7776;
35 : 353 4615 13861;
36 : 6638 11251 4477;
37 : 7592 11009 416;
38 : 10854 13985 10287;
39 : 11219 10936 5637;
40 : 12849 12807 4601;
41 : 11467 14792 13143;
42 : 12057 3406 9609;
43 : 13680 13637 3938;
44 : 5240 14118 10495;
45 : 7971 8858 11390;
46 : 8669 11681 8982;
47 : 519 10702 14531;
48 : 893 12956 223;
49 : 7868 5214 4315;
50 : 9452 3006 7184;
51 : 9890 13682 8062;
52 : 2091 10942 13436;
53 : 2096 10851 10892;
54 : 12793 11393 7605;
55 : 9504 11240 14536;
56 : 2518 10272 12850;
57 : 6411 12861 7645;
58 : 8924 5732 10041;
59 : 7703 5379 13098;
60 : 12733 5235 11431;
61 : 8277 12469 6808;
62 : 5396 3580 13632;
63 : 813 535 9351;
64 : 8900 14302 2906;
65 : 10100 12137 6370;
66 : 6508 10104 14343;
67 : 1715 3556 2420;
68 : 14545 11927 7904;
69 : 6813 7469 6935;
70 : 4945 11174 10007;
71 : 2675 6042 14902;
72 : 2220 13895 3977;
73 : 7097 8505 7786;
74 : 12351 6425 1924;
75 : 13572 3404 6694;
76 : 12325 5447 14021;
77 : 1076 10174 2080;
78 : 11614 13534 879;
79 : 1548 6006 298;
80 : 5545 2752 2862;
81 : 9823 4236 8803;
82 : 7136 8972 5921;
83 : 10090 14091 11342;
84 : 14356 4845 13589;
85 : 11362 8918 10206;
86 : 3602 3487 1469;
87 : 6615 14492 6831;
88 : 11629 14951 2510;
89 : 9870 6771 1009;
90 : 3591 12493 9848;
91 : 4430 12666 14200;
92 : 13267 12845 1649;
93 : 14472 8463 452;
94 : 9380 12352 1752;
95 : 3438 11852 4433;
96 : 9714 10580 1211;
97 : 12030 3125 7929;
98 : 526 10899 7673;
99 : 12636 2772 2204;
100 : 6092 3677 13757;
101 : 1729 5897 9082;
102 : 2418 8002 12353;
103 : 8954 10630 12294;
104 : 9696 8444 2202;
105 : 7347 12318 11105;
106 : 14630 6962 2641;
107 : 14773 5490 4490;
108 : 11501 7410 3971;
109 : 14778 8157 3253;
110 : 6954 14717 766;
111 : 4352 2020 10350;
112 : 3574 3335 5494;
113 : 6963 7770 7744;
114 : 8801 28 11349;
115 : 3179 14889 8004;
116 : 7940 13606 14671;
117 : 13662 1511 14227;
118 : 12463 13750 9925;
119 : 8573 8077 7078;
120 : 12555 9451 2415;
121 : 7670 967 8888;
122 : 11603 3281 14398;
123 : 6991 5648 14283;
124 : 12320 6599 7398;
125 : 10000 8126 3837;
126 : 189 3807 383;
127 : 14144 422 11389;
128 : 13638 8349 5544;
129 : 12069 14937 14167;
130 : 8926 8786 12128;
131 : 12118 331 8693;
132 : 9036 14117 4583;
133 : 10438 7780 12955;
134 : 9061 10820 10378;
135 : 14201 2231 13979;
136 : 9696 13516 14710;
137 : 1854 14414 10037;
138 : 11182 11519 6865;
139 : 964 2411 10679;
140 : 8347 4719 9209;
141 : 7166 11059 4260;
142 : 12124 7657 606;
143 : 7566 9477 8286;
144 : 3304 9175 6192;
145 : 11644 2126 1446;
146 : 10124 12759 13174;
147 : 4399 13900 14320;
148 : 4124 2432 13620;
149 : 8170 8085 9959;
150 : 7030 13554 6124;
151 : 13644 11709 11621;
152 : 12056 7556 14617;
153 : 14965 8284 12989;
154 : 336 1591 13406;
155 : 9234 3941 10138;
156 : 10725 7304 11218;
157 : 9845 1298 4995;
158 : 8351 13620 14513;
159 : 14042 10247 7322;
160 : 12956 6056 9806;
161 : 2766 12830 4773;
162 : 13951 14234 4936;
163 : 8060 3952 6218;
164 : 14156 2191 12355;
165 : 3745 336 9313;
166 : 6016 879 6627;
167 : 6260 13828 8615;
168 : 3290 3622 12655;
169 : 7605 13533 12596;
170 : 2610 1152 12474;
171 : 1110 8399 14175;
172 : 4389 1305 2933;
173 : 1584 13590 5382;
174 : 10067 4999 10965;
175 : 11178 4688 10347;
176 : 9379 9896 4102;
177 : 12078 183 12274;
178 : 709 12046 10924;
179 : 9583 3015 14314;
180 : 4515 10337 11952;
181 : 14759 9037 7961;
182 : 14574 9947 10702;
183 : 177 7849 12526;
184 : 3532 6966 3726;
185 : 4425 11096 6226;
186 : 9602 12418 12810;
187 : 14714 9248 13727;
188 : 11510 7877 1615;
189 : 7187 13750 126;
190 : 8745 357 7589;
191 : 7840 12096 9813;
192 : 4619 2581 9140;
193 : 6988 11211 10773;
194 : 2794 2039 10975;
195 : 13468 13270 11107;
196 : 13022 8342 9731;
197 : 635 5672 13970;
198 : 7000 4821 5237;
199 : 14345 1641 6175;
200 : 10858 3068 12869;
201 : 14433 4037 4372;
